DOF,F Value
0,0.00000000000000000e+00
1,4.26325641456060096e-15
2,0.00000000000000000e+00
3,0.00000000000000000e+00
4,0.00000000000000000e+00
5,0.00000000000000000e+00
6,0.00000000000000000e+00
7,-1.00000000000000018e+01
8,0.00000000000000000e+00
9,0.00000000000000000e+00
10,0.00000000000000000e+00
11,0.00000000000000000e+00
12,0.00000000000000000e+00
13,-1.00000000000000000e+01
14,0.00000000000000000e+00
15,0.00000000000000000e+00
16,0.00000000000000000e+00
17,0.00000000000000000e+00
18,0.00000000000000000e+00
19,-9.99999999999999822e+00
20,0.00000000000000000e+00
21,0.00000000000000000e+00
22,0.00000000000000000e+00
23,0.00000000000000000e+00
24,0.00000000000000000e+00
25,-1.00000000000000018e+01
26,0.00000000000000000e+00
27,0.00000000000000000e+00
28,0.00000000000000000e+00
29,0.00000000000000000e+00
30,0.00000000000000000e+00
31,-1.00000000000000000e+01
32,0.00000000000000000e+00
33,0.00000000000000000e+00
34,0.00000000000000000e+00
35,0.00000000000000000e+00
36,0.00000000000000000e+00
37,-9.99999999999999645e+00
38,0.00000000000000000e+00
39,0.00000000000000000e+00
40,0.00000000000000000e+00
41,0.00000000000000000e+00
42,0.00000000000000000e+00
43,-1.00000000000000071e+01
44,0.00000000000000000e+00
45,0.00000000000000000e+00
46,0.00000000000000000e+00
47,0.00000000000000000e+00
48,0.00000000000000000e+00
49,-9.99999999999999645e+00
50,0.00000000000000000e+00
51,0.00000000000000000e+00
52,0.00000000000000000e+00
53,0.00000000000000000e+00
54,0.00000000000000000e+00
55,-9.99999999999999822e+00
56,0.00000000000000000e+00
57,0.00000000000000000e+00
58,0.00000000000000000e+00
59,0.00000000000000000e+00
60,0.00000000000000000e+00
61,-1.00000000000000142e+01
62,0.00000000000000000e+00
63,0.00000000000000000e+00
64,0.00000000000000000e+00
65,0.00000000000000000e+00
66,0.00000000000000000e+00
67,-9.99999999999999645e+00
68,0.00000000000000000e+00
69,0.00000000000000000e+00
70,0.00000000000000000e+00
71,0.00000000000000000e+00
72,0.00000000000000000e+00
73,-9.99999999999999467e+00
74,0.00000000000000000e+00
75,0.00000000000000000e+00
76,0.00000000000000000e+00
77,0.00000000000000000e+00
78,0.00000000000000000e+00
79,-1.00000000000000124e+01
80,0.00000000000000000e+00
81,0.00000000000000000e+00
82,0.00000000000000000e+00
83,0.00000000000000000e+00
84,0.00000000000000000e+00
85,-1.00000000000000124e+01
86,0.00000000000000000e+00
87,0.00000000000000000e+00
88,0.00000000000000000e+00
89,0.00000000000000000e+00
90,0.00000000000000000e+00
91,-9.99999999999998579e+00
92,0.00000000000000000e+00
93,0.00000000000000000e+00
94,0.00000000000000000e+00
95,0.00000000000000000e+00
96,0.00000000000000000e+00
97,-1.00000000000000124e+01
98,0.00000000000000000e+00
99,0.00000000000000000e+00
100,0.00000000000000000e+00
101,0.00000000000000000e+00
102,0.00000000000000000e+00
103,-1.00000000000000142e+01
104,0.00000000000000000e+00
105,0.00000000000000000e+00
106,0.00000000000000000e+00
107,0.00000000000000000e+00
108,0.00000000000000000e+00
109,-9.99999999999998401e+00
110,0.00000000000000000e+00
111,0.00000000000000000e+00
112,0.00000000000000000e+00
113,0.00000000000000000e+00
114,0.00000000000000000e+00
115,-1.00000000000000107e+01
116,0.00000000000000000e+00
117,0.00000000000000000e+00
118,0.00000000000000000e+00
119,0.00000000000000000e+00
120,0.00000000000000000e+00
121,-1.00000000000000124e+01
122,0.00000000000000000e+00
123,0.00000000000000000e+00
124,0.00000000000000000e+00
125,0.00000000000000000e+00
126,0.00000000000000000e+00
127,-9.99999999999998224e+00
128,0.00000000000000000e+00
129,0.00000000000000000e+00
130,0.00000000000000000e+00
131,0.00000000000000000e+00
132,0.00000000000000000e+00
133,-1.00000000000000089e+01
134,0.00000000000000000e+00
135,0.00000000000000000e+00
136,0.00000000000000000e+00
137,0.00000000000000000e+00
138,0.00000000000000000e+00
139,-1.00000000000000124e+01
140,0.00000000000000000e+00
141,0.00000000000000000e+00
142,0.00000000000000000e+00
143,0.00000000000000000e+00
144,0.00000000000000000e+00
145,-9.99999999999998046e+00
146,0.00000000000000000e+00
147,0.00000000000000000e+00
148,0.00000000000000000e+00
149,0.00000000000000000e+00
150,0.00000000000000000e+00
151,-1.00000000000000089e+01
152,0.00000000000000000e+00
153,0.00000000000000000e+00
154,0.00000000000000000e+00
155,0.00000000000000000e+00
156,0.00000000000000000e+00
157,-1.00000000000000107e+01
158,0.00000000000000000e+00
159,0.00000000000000000e+00
160,0.00000000000000000e+00
161,0.00000000000000000e+00
162,0.00000000000000000e+00
163,-1.00000000000000071e+01
164,0.00000000000000000e+00
165,0.00000000000000000e+00
166,0.00000000000000000e+00
167,0.00000000000000000e+00
168,0.00000000000000000e+00
169,-1.00000000000000107e+01
170,0.00000000000000000e+00
171,0.00000000000000000e+00
172,0.00000000000000000e+00
173,0.00000000000000000e+00
174,0.00000000000000000e+00
175,-9.99999999999995204e+00
176,0.00000000000000000e+00
177,0.00000000000000000e+00
178,0.00000000000000000e+00
179,0.00000000000000000e+00
180,0.00000000000000000e+00
181,-1.00000000000000142e+01
182,0.00000000000000000e+00
183,0.00000000000000000e+00
184,0.00000000000000000e+00
185,0.00000000000000000e+00
186,0.00000000000000000e+00
187,-1.00000000000000089e+01
188,0.00000000000000000e+00
189,0.00000000000000000e+00
190,0.00000000000000000e+00
191,0.00000000000000000e+00
192,0.00000000000000000e+00
193,-1.00000000000000124e+01
194,0.00000000000000000e+00
195,0.00000000000000000e+00
196,0.00000000000000000e+00
197,0.00000000000000000e+00
198,0.00000000000000000e+00
199,-1.00000000000000124e+01
200,0.00000000000000000e+00
201,0.00000000000000000e+00
202,0.00000000000000000e+00
203,0.00000000000000000e+00
204,0.00000000000000000e+00
205,-1.00000000000000107e+01
206,0.00000000000000000e+00
207,0.00000000000000000e+00
208,0.00000000000000000e+00
209,0.00000000000000000e+00
210,0.00000000000000000e+00
211,-9.99999999999995204e+00
212,0.00000000000000000e+00
213,0.00000000000000000e+00
214,0.00000000000000000e+00
215,0.00000000000000000e+00
216,0.00000000000000000e+00
217,-1.00000000000000089e+01
218,0.00000000000000000e+00
219,0.00000000000000000e+00
220,0.00000000000000000e+00
221,0.00000000000000000e+00
222,0.00000000000000000e+00
223,-1.00000000000000124e+01
224,0.00000000000000000e+00
225,0.00000000000000000e+00
226,0.00000000000000000e+00
227,0.00000000000000000e+00
228,0.00000000000000000e+00
229,-1.00000000000000089e+01
230,0.00000000000000000e+00
231,0.00000000000000000e+00
232,0.00000000000000000e+00
233,0.00000000000000000e+00
234,0.00000000000000000e+00
235,-1.00000000000000107e+01
236,0.00000000000000000e+00
237,0.00000000000000000e+00
238,0.00000000000000000e+00
239,0.00000000000000000e+00
240,0.00000000000000000e+00
241,-1.00000000000000107e+01
242,0.00000000000000000e+00
243,0.00000000000000000e+00
244,0.00000000000000000e+00
245,0.00000000000000000e+00
246,0.00000000000000000e+00
247,-9.99999999999995204e+00
248,0.00000000000000000e+00
249,0.00000000000000000e+00
250,0.00000000000000000e+00
251,0.00000000000000000e+00
252,0.00000000000000000e+00
253,-1.00000000000000089e+01
254,0.00000000000000000e+00
255,0.00000000000000000e+00
256,0.00000000000000000e+00
257,0.00000000000000000e+00
258,0.00000000000000000e+00
259,-1.00000000000000124e+01
260,0.00000000000000000e+00
261,0.00000000000000000e+00
262,0.00000000000000000e+00
263,0.00000000000000000e+00
264,0.00000000000000000e+00
265,-1.00000000000000089e+01
266,0.00000000000000000e+00
267,0.00000000000000000e+00
268,0.00000000000000000e+00
269,0.00000000000000000e+00
270,0.00000000000000000e+00
271,-1.00000000000000089e+01
272,0.00000000000000000e+00
273,0.00000000000000000e+00
274,0.00000000000000000e+00
275,0.00000000000000000e+00
276,0.00000000000000000e+00
277,-1.00000000000000107e+01
278,0.00000000000000000e+00
279,0.00000000000000000e+00
280,0.00000000000000000e+00
281,0.00000000000000000e+00
282,0.00000000000000000e+00
283,-9.99999999999995381e+00
284,0.00000000000000000e+00
285,0.00000000000000000e+00
286,0.00000000000000000e+00
287,0.00000000000000000e+00
288,0.00000000000000000e+00
289,-1.00000000000000089e+01
290,0.00000000000000000e+00
291,0.00000000000000000e+00
292,0.00000000000000000e+00
293,0.00000000000000000e+00
294,0.00000000000000000e+00
295,-1.00000000000000089e+01
296,0.00000000000000000e+00
297,0.00000000000000000e+00
298,0.00000000000000000e+00
299,0.00000000000000000e+00
300,0.00000000000000000e+00
301,-1.00000000000000071e+01
302,0.00000000000000000e+00
303,0.00000000000000000e+00
304,0.00000000000000000e+00
305,0.00000000000000000e+00
306,0.00000000000000000e+00
307,-1.00000000000000142e+01
308,0.00000000000000000e+00
309,0.00000000000000000e+00
310,0.00000000000000000e+00
311,0.00000000000000000e+00
312,0.00000000000000000e+00
313,-1.00000000000000071e+01
314,0.00000000000000000e+00
315,0.00000000000000000e+00
316,0.00000000000000000e+00
317,0.00000000000000000e+00
318,0.00000000000000000e+00
319,-1.00000000000000089e+01
320,0.00000000000000000e+00
321,0.00000000000000000e+00
322,0.00000000000000000e+00
323,0.00000000000000000e+00
324,0.00000000000000000e+00
325,-1.00000000000000089e+01
326,0.00000000000000000e+00
327,0.00000000000000000e+00
328,0.00000000000000000e+00
329,0.00000000000000000e+00
330,0.00000000000000000e+00
331,-1.00000000000000107e+01
332,0.00000000000000000e+00
333,0.00000000000000000e+00
334,0.00000000000000000e+00
335,0.00000000000000000e+00
336,0.00000000000000000e+00
337,-1.00000000000000071e+01
338,0.00000000000000000e+00
339,0.00000000000000000e+00
340,0.00000000000000000e+00
341,0.00000000000000000e+00
342,0.00000000000000000e+00
343,-9.99999999999989875e+00
344,0.00000000000000000e+00
345,0.00000000000000000e+00
346,0.00000000000000000e+00
347,0.00000000000000000e+00
348,0.00000000000000000e+00
349,-1.00000000000000107e+01
350,0.00000000000000000e+00
351,0.00000000000000000e+00
352,0.00000000000000000e+00
353,0.00000000000000000e+00
354,0.00000000000000000e+00
355,-1.00000000000000071e+01
356,0.00000000000000000e+00
357,0.00000000000000000e+00
358,0.00000000000000000e+00
359,0.00000000000000000e+00
360,0.00000000000000000e+00
361,-1.00000000000000124e+01
362,0.00000000000000000e+00
363,0.00000000000000000e+00
364,0.00000000000000000e+00
365,0.00000000000000000e+00
366,0.00000000000000000e+00
367,-1.00000000000000089e+01
368,0.00000000000000000e+00
369,0.00000000000000000e+00
370,0.00000000000000000e+00
371,0.00000000000000000e+00
372,0.00000000000000000e+00
373,-1.00000000000000124e+01
374,0.00000000000000000e+00
375,0.00000000000000000e+00
376,0.00000000000000000e+00
377,0.00000000000000000e+00
378,0.00000000000000000e+00
379,-1.00000000000000124e+01
380,0.00000000000000000e+00
381,0.00000000000000000e+00
382,0.00000000000000000e+00
383,0.00000000000000000e+00
384,0.00000000000000000e+00
385,-1.00000000000000089e+01
386,0.00000000000000000e+00
387,0.00000000000000000e+00
388,0.00000000000000000e+00
389,0.00000000000000000e+00
390,0.00000000000000000e+00
391,-1.00000000000000071e+01
392,0.00000000000000000e+00
393,0.00000000000000000e+00
394,0.00000000000000000e+00
395,0.00000000000000000e+00
396,0.00000000000000000e+00
397,-1.00000000000000071e+01
398,0.00000000000000000e+00
399,0.00000000000000000e+00
400,0.00000000000000000e+00
401,0.00000000000000000e+00
402,0.00000000000000000e+00
403,-1.00000000000000107e+01
404,0.00000000000000000e+00
405,0.00000000000000000e+00
406,0.00000000000000000e+00
407,0.00000000000000000e+00
408,0.00000000000000000e+00
409,-1.00000000000000089e+01
410,0.00000000000000000e+00
411,0.00000000000000000e+00
412,0.00000000000000000e+00
413,0.00000000000000000e+00
414,0.00000000000000000e+00
415,-9.99999999999989875e+00
416,0.00000000000000000e+00
417,0.00000000000000000e+00
418,0.00000000000000000e+00
419,0.00000000000000000e+00
420,0.00000000000000000e+00
421,-1.00000000000000089e+01
422,0.00000000000000000e+00
423,0.00000000000000000e+00
424,0.00000000000000000e+00
425,0.00000000000000000e+00
426,0.00000000000000000e+00
427,-1.00000000000000089e+01
428,0.00000000000000000e+00
429,0.00000000000000000e+00
430,0.00000000000000000e+00
431,0.00000000000000000e+00
432,0.00000000000000000e+00
433,-1.00000000000000089e+01
434,0.00000000000000000e+00
435,0.00000000000000000e+00
436,0.00000000000000000e+00
437,0.00000000000000000e+00
438,0.00000000000000000e+00
439,-1.00000000000000071e+01
440,0.00000000000000000e+00
441,0.00000000000000000e+00
442,0.00000000000000000e+00
443,0.00000000000000000e+00
444,0.00000000000000000e+00
445,-1.00000000000000142e+01
446,0.00000000000000000e+00
447,0.00000000000000000e+00
448,0.00000000000000000e+00
449,0.00000000000000000e+00
450,0.00000000000000000e+00
451,-1.00000000000000071e+01
452,0.00000000000000000e+00
453,0.00000000000000000e+00
454,0.00000000000000000e+00
455,0.00000000000000000e+00
456,0.00000000000000000e+00
457,-1.00000000000000107e+01
458,0.00000000000000000e+00
459,0.00000000000000000e+00
460,0.00000000000000000e+00
461,0.00000000000000000e+00
462,0.00000000000000000e+00
463,-1.00000000000000089e+01
464,0.00000000000000000e+00
465,0.00000000000000000e+00
466,0.00000000000000000e+00
467,0.00000000000000000e+00
468,0.00000000000000000e+00
469,-1.00000000000000089e+01
470,0.00000000000000000e+00
471,0.00000000000000000e+00
472,0.00000000000000000e+00
473,0.00000000000000000e+00
474,0.00000000000000000e+00
475,-1.00000000000000089e+01
476,0.00000000000000000e+00
477,0.00000000000000000e+00
478,0.00000000000000000e+00
479,0.00000000000000000e+00
480,0.00000000000000000e+00
481,-1.00000000000000089e+01
482,0.00000000000000000e+00
483,0.00000000000000000e+00
484,0.00000000000000000e+00
485,0.00000000000000000e+00
486,0.00000000000000000e+00
487,-1.00000000000000107e+01
488,0.00000000000000000e+00
489,0.00000000000000000e+00
490,0.00000000000000000e+00
491,0.00000000000000000e+00
492,0.00000000000000000e+00
493,-9.99999999999990052e+00
494,0.00000000000000000e+00
495,0.00000000000000000e+00
496,0.00000000000000000e+00
497,0.00000000000000000e+00
498,0.00000000000000000e+00
499,-1.00000000000000089e+01
500,0.00000000000000000e+00
501,0.00000000000000000e+00
502,0.00000000000000000e+00
503,0.00000000000000000e+00
504,0.00000000000000000e+00
505,-1.00000000000000124e+01
506,0.00000000000000000e+00
507,0.00000000000000000e+00
508,0.00000000000000000e+00
509,0.00000000000000000e+00
510,0.00000000000000000e+00
511,-1.00000000000000142e+01
512,0.00000000000000000e+00
513,0.00000000000000000e+00
514,0.00000000000000000e+00
515,0.00000000000000000e+00
516,0.00000000000000000e+00
517,-1.00000000000000107e+01
518,0.00000000000000000e+00
519,0.00000000000000000e+00
520,0.00000000000000000e+00
521,0.00000000000000000e+00
522,0.00000000000000000e+00
523,-1.00000000000000107e+01
524,0.00000000000000000e+00
525,0.00000000000000000e+00
526,0.00000000000000000e+00
527,0.00000000000000000e+00
528,0.00000000000000000e+00
529,-1.00000000000000107e+01
530,0.00000000000000000e+00
531,0.00000000000000000e+00
532,0.00000000000000000e+00
533,0.00000000000000000e+00
534,0.00000000000000000e+00
535,-1.00000000000000089e+01
536,0.00000000000000000e+00
537,0.00000000000000000e+00
538,0.00000000000000000e+00
539,0.00000000000000000e+00
540,0.00000000000000000e+00
541,-1.00000000000000089e+01
542,0.00000000000000000e+00
543,0.00000000000000000e+00
544,0.00000000000000000e+00
545,0.00000000000000000e+00
546,0.00000000000000000e+00
547,-1.00000000000000071e+01
548,0.00000000000000000e+00
549,0.00000000000000000e+00
550,0.00000000000000000e+00
551,0.00000000000000000e+00
552,0.00000000000000000e+00
553,-1.00000000000000089e+01
554,0.00000000000000000e+00
555,0.00000000000000000e+00
556,0.00000000000000000e+00
557,0.00000000000000000e+00
558,0.00000000000000000e+00
559,-1.00000000000000089e+01
560,0.00000000000000000e+00
561,0.00000000000000000e+00
562,0.00000000000000000e+00
563,0.00000000000000000e+00
564,0.00000000000000000e+00
565,-9.99999999999989875e+00
566,0.00000000000000000e+00
567,0.00000000000000000e+00
568,0.00000000000000000e+00
569,0.00000000000000000e+00
570,0.00000000000000000e+00
571,-1.00000000000000089e+01
572,0.00000000000000000e+00
573,0.00000000000000000e+00
574,0.00000000000000000e+00
575,0.00000000000000000e+00
576,0.00000000000000000e+00
577,-1.00000000000000071e+01
578,0.00000000000000000e+00
579,0.00000000000000000e+00
580,0.00000000000000000e+00
581,0.00000000000000000e+00
582,0.00000000000000000e+00
583,-1.00000000000000124e+01
584,0.00000000000000000e+00
585,0.00000000000000000e+00
586,0.00000000000000000e+00
587,0.00000000000000000e+00
588,0.00000000000000000e+00
589,-1.00000000000000107e+01
590,0.00000000000000000e+00
591,0.00000000000000000e+00
592,0.00000000000000000e+00
593,0.00000000000000000e+00
594,0.00000000000000000e+00
595,-1.00000000000000142e+01
596,0.00000000000000000e+00
597,0.00000000000000000e+00
598,0.00000000000000000e+00
599,0.00000000000000000e+00
600,0.00000000000000000e+00
601,-1.00000000000000107e+01
602,0.00000000000000000e+00
603,0.00000000000000000e+00
604,0.00000000000000000e+00
605,0.00000000000000000e+00
